id	profile	model	dataset	start	stop
qa__llama3-8b__nq_open__00000-00200	qa	llama3-8b	nq_open	0	200
qa__llama3-8b__nq_open__00200-00400	qa	llama3-8b	nq_open	200	400
qa__llama3-8b__nq_open__00400-00600	qa	llama3-8b	nq_open	400	600
qa__llama3-8b__nq_open__00600-00800	qa	llama3-8b	nq_open	600	800
qa__llama3-8b__nq_open__00800-01000	qa	llama3-8b	nq_open	800	1000
qa__llama3-8b__nq_open__01000-01200	qa	llama3-8b	nq_open	1000	1200
qa__llama3-8b__nq_open__01200-01400	qa	llama3-8b	nq_open	1200	1400
qa__llama3-8b__nq_open__01400-01600	qa	llama3-8b	nq_open	1400	1600
qa__llama3-8b__nq_open__01600-01800	qa	llama3-8b	nq_open	1600	1800
qa__llama3-8b__nq_open__01800-02000	qa	llama3-8b	nq_open	1800	2000
qa__llama3-8b__nq_open__02000-02200	qa	llama3-8b	nq_open	2000	2200
qa__llama3-8b__nq_open__02200-02400	qa	llama3-8b	nq_open	2200	2400
qa__llama3-8b__nq_open__02400-02600	qa	llama3-8b	nq_open	2400	2600
qa__llama3-8b__nq_open__02600-02800	qa	llama3-8b	nq_open	2600	2800
qa__llama3-8b__nq_open__02800-03000	qa	llama3-8b	nq_open	2800	3000
qa__llama3-8b__nq_open__03000-03200	qa	llama3-8b	nq_open	3000	3200
qa__llama3-8b__nq_open__03200-03400	qa	llama3-8b	nq_open	3200	3400
qa__llama3-8b__nq_open__03400-03600	qa	llama3-8b	nq_open	3400	3600
qa__llama3-8b__nq_open__03600-03610	qa	llama3-8b	nq_open	3600	3610
qa__llama3-8b__triviaqa__00000-00200	qa	llama3-8b	triviaqa	0	200
qa__llama3-8b__triviaqa__00200-00400	qa	llama3-8b	triviaqa	200	400
qa__llama3-8b__triviaqa__00400-00600	qa	llama3-8b	triviaqa	400	600
qa__llama3-8b__triviaqa__00600-00800	qa	llama3-8b	triviaqa	600	800
qa__llama3-8b__triviaqa__00800-01000	qa	llama3-8b	triviaqa	800	1000
qa__llama3-8b__triviaqa__01000-01200	qa	llama3-8b	triviaqa	1000	1200
qa__llama3-8b__triviaqa__01200-01400	qa	llama3-8b	triviaqa	1200	1400
qa__llama3-8b__triviaqa__01400-01600	qa	llama3-8b	triviaqa	1400	1600
qa__llama3-8b__triviaqa__01600-01800	qa	llama3-8b	triviaqa	1600	1800
qa__llama3-8b__triviaqa__01800-02000	qa	llama3-8b	triviaqa	1800	2000
qa__llama3-8b__triviaqa__02000-02200	qa	llama3-8b	triviaqa	2000	2200
qa__llama3-8b__triviaqa__02200-02400	qa	llama3-8b	triviaqa	2200	2400
qa__llama3-8b__triviaqa__02400-02600	qa	llama3-8b	triviaqa	2400	2600
qa__llama3-8b__triviaqa__02600-02800	qa	llama3-8b	triviaqa	2600	2800
qa__llama3-8b__triviaqa__02800-03000	qa	llama3-8b	triviaqa	2800	3000
qa__llama3-8b__triviaqa__03000-03200	qa	llama3-8b	triviaqa	3000	3200
qa__llama3-8b__triviaqa__03200-03400	qa	llama3-8b	triviaqa	3200	3400
qa__llama3-8b__triviaqa__03400-03600	qa	llama3-8b	triviaqa	3400	3600
qa__llama3-8b__triviaqa__03600-03800	qa	llama3-8b	triviaqa	3600	3800
qa__llama3-8b__triviaqa__03800-04000	qa	llama3-8b	triviaqa	3800	4000
qa__llama3-8b__triviaqa__04000-04200	qa	llama3-8b	triviaqa	4000	4200
qa__llama3-8b__triviaqa__04200-04400	qa	llama3-8b	triviaqa	4200	4400
qa__llama3-8b__triviaqa__04400-04600	qa	llama3-8b	triviaqa	4400	4600
qa__llama3-8b__triviaqa__04600-04800	qa	llama3-8b	triviaqa	4600	4800
qa__llama3-8b__triviaqa__04800-05000	qa	llama3-8b	triviaqa	4800	5000
qa__llama3-8b__triviaqa__05000-05200	qa	llama3-8b	triviaqa	5000	5200
qa__llama3-8b__triviaqa__05200-05400	qa	llama3-8b	triviaqa	5200	5400
